Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.2954,1024,0.000120,10 pairs: 1024 images;
1,20,2.2877,1024,0.000120,10 pairs: 1021 images; 4 pairs: 1 images;
1,30,2.2784,1024,0.000120,10 pairs: 1020 images; 8 pairs: 3 images; 4 pairs: 1 images;
1,40,2.2685,1024,0.000120,10 pairs: 1006 images; 8 pairs: 8 images; 6 pairs: 1 images; 4 pairs: 8 images;
2,10,2.2590,1024,0.000122,10 pairs: 980 images; 8 pairs: 19 images; 6 pairs: 3 images; 4 pairs: 18 images; 2 pairs: 1 images;
2,20,2.2568,1024,0.000122,10 pairs: 975 images; 8 pairs: 16 images; 6 pairs: 4 images; 4 pairs: 27 images; 2 pairs: 1 images;
2,30,2.2284,1024,0.000122,10 pairs: 940 images; 8 pairs: 24 images; 6 pairs: 9 images; 4 pairs: 46 images; 2 pairs: 4 images;
2,40,2.2303,1024,0.000122,10 pairs: 915 images; 8 pairs: 26 images; 6 pairs: 10 images; 4 pairs: 64 images; 2 pairs: 9 images;
3,10,2.2056,1024,0.000128,10 pairs: 854 images; 8 pairs: 49 images; 6 pairs: 28 images; 4 pairs: 83 images; 2 pairs: 10 images;
3,20,2.1958,1024,0.000128,10 pairs: 835 images; 8 pairs: 63 images; 6 pairs: 24 images; 4 pairs: 89 images; 2 pairs: 13 images;
3,30,2.1816,1024,0.000128,10 pairs: 764 images; 8 pairs: 90 images; 6 pairs: 39 images; 4 pairs: 108 images; 2 pairs: 20 images;
3,40,2.1875,1024,0.000128,10 pairs: 770 images; 8 pairs: 92 images; 6 pairs: 40 images; 4 pairs: 101 images; 2 pairs: 20 images;
4,10,2.1852,1024,0.000138,10 pairs: 734 images; 8 pairs: 88 images; 6 pairs: 68 images; 4 pairs: 102 images; 2 pairs: 32 images;
4,20,2.1474,1024,0.000138,10 pairs: 694 images; 8 pairs: 101 images; 6 pairs: 80 images; 4 pairs: 129 images; 2 pairs: 20 images;
4,30,2.1626,1024,0.000138,10 pairs: 655 images; 8 pairs: 109 images; 6 pairs: 87 images; 4 pairs: 139 images; 2 pairs: 34 images;
4,40,2.1476,1024,0.000138,10 pairs: 654 images; 8 pairs: 108 images; 6 pairs: 95 images; 4 pairs: 133 images; 2 pairs: 34 images;
